i, iplusone, time, distance
2, 3, 0.0005986690521240234, 2
3, 4, 0.0006023406982421875, 3
4, 5, 0.0006944179534912109, 3
5, 6, 0.0007976293563842773, 3
6, 7, 0.0011008739471435546, 5
7, 8, 0.001197052001953125, 3
8, 9, 0.0014916658401489258, 5
9, 10, 0.0017954111099243164, 5
10, 11, 0.002297663688659668, 7
11, 12, 0.002589249610900879, 9
12, 13, 0.0028922319412231444, 7
13, 14, 0.004392170906066894, 5
14, 15, 0.004085111618041992, 7
15, 16, 0.0048869609832763675, 11
16, 17, 0.005385375022888184, 11
17, 18, 0.00548551082611084, 11
18, 19, 0.006382966041564941, 9
19, 20, 0.007284426689147949, 11
20, 21, 0.008373451232910157, 13
21, 22, 0.008676767349243164, 11
22, 23, 0.009374880790710449, 11
23, 24, 0.012270784378051758, 9
24, 25, 0.011565756797790528, 11
25, 26, 0.012463235855102539, 9
26, 27, 0.013267898559570312, 9
27, 28, 0.01445786952972412, 11
28, 29, 0.016954469680786132, 9
29, 30, 0.016655445098876953, 11
30, 31, 0.01835448741912842, 11
31, 32, 0.01964731216430664, 13
32, 33, 0.021140074729919432, 15
33, 34, 0.025032830238342286, 17
34, 35, 0.024637484550476076, 19
35, 36, 0.026928091049194337, 17
36, 37, 0.030913686752319335, 19
37, 38, 0.030721497535705567, 9
38, 39, 0.03291184902191162, 13
39, 40, 0.03470711708068848, 11
40, 41, 0.039989376068115236, 13
41, 42, 0.0388960599899292, 13
42, 43, 0.043982410430908205, 15
43, 44, 0.05196094512939453, 17
44, 45, 0.05575077533721924, 19
45, 46, 0.055451393127441406, 21
46, 47, 0.05595030784606934, 21
47, 48, 0.05624971389770508, 21
48, 49, 0.06612308025360107, 25
49, 50, 0.07021212577819824, 29
50, 51, 0.07061104774475098, 27
51, 52, 0.07689402103424073, 27
52, 53, 0.07759256362915039, 27
53, 54, 0.08348093032836915, 21
54, 55, 0.09414377212524414, 25
55, 56, 0.0991347074508667, 29
56, 57, 0.10102963447570801, 27
57, 58, 0.10402510166168213, 29
58, 59, 0.11050069332122803, 27
59, 60, 0.11030480861663819, 19
60, 61, 0.11339678764343261, 19
61, 62, 0.11618905067443848, 21
62, 63, 0.12257208824157714, 17
63, 64, 0.12506523132324218, 19
64, 65, 0.13144803047180176, 29
65, 66, 0.13454000949859618, 23
66, 67, 0.14162473678588866, 23
67, 68, 0.1443104028701782, 25
68, 69, 0.1518934726715088, 25
69, 70, 0.1560821056365967, 29
70, 71, 0.1676551103591919, 15
71, 72, 0.18380463123321533, 19
72, 73, 0.19687321186065673, 21
73, 74, 0.21881439685821533, 19
74, 75, 0.21552641391754152, 19
75, 76, 0.2178138017654419, 21
76, 77, 0.24016897678375243, 23
77, 78, 0.22882547378540039, 17
78, 79, 0.22699325084686278, 17
79, 80, 0.24073209762573242, 19
80, 81, 0.24490184783935548, 21
81, 82, 0.25471479892730714, 21
82, 83, 0.2619086027145386, 23
83, 84, 0.26559245586395264, 23
84, 85, 0.27757749557495115, 19
85, 86, 0.2738814830780029, 21
86, 87, 0.275262713432312, 21
87, 88, 0.2873266935348511, 25
88, 89, 0.3218104124069214, 21
89, 90, 0.3164360046386719, 23
90, 91, 0.30336053371429444, 21
91, 92, 0.30713253021240233, 21
92, 93, 0.31299605369567873, 23
93, 94, 0.33344125747680664, 25
94, 95, 0.34182441234588623, 27
95, 96, 0.3508609294891357, 29
96, 97, 0.372993016242981, 31
97, 98, 0.37489702701568606, 27
98, 99, 0.377389931678772, 29
99, 100, 0.40048952102661134, 29
100, 101, 0.4112992286682129, 31
101, 102, 0.41983585357666015, 33
102, 103, 0.43304076194763186, 35
103, 104, 0.4393244743347168, 25
104, 105, 0.4503304481506348, 25
105, 106, 0.4757532596588135, 17
106, 107, 0.4845956087112427, 19
107, 108, 0.49647395610809325, 19
108, 109, 0.5039514780044556, 19
109, 110, 0.5151158094406127, 21
110, 111, 0.5229042053222657, 23
111, 112, 0.542544937133789, 25
112, 113, 0.5536183595657349, 27
113, 114, 0.5544039249420166, 29
114, 115, 0.5836347818374634, 31
115, 116, 0.5787544488906861, 33
116, 117, 0.5931556224822998, 33
117, 118, 0.6050807714462281, 33
118, 119, 0.623033595085144, 35
119, 120, 0.6318804264068604, 31
120, 121, 0.6457719326019287, 33
121, 122, 0.6562447071075439, 35
122, 123, 0.6478658199310303, 37
123, 124, 0.6650452613830566, 39
124, 125, 0.6743254661560059, 39
125, 126, 0.6649206638336181, 39
126, 127, 0.7065094709396362, 43
127, 128, 0.7539823770523071, 45
128, 129, 0.7623599290847778, 47
129, 130, 0.7293493986129761, 31
130, 131, 0.7462987899780273, 35
