taxa, file, rfdist(OurNJ:QuickTree)
89, 89_Adeno_E3_CR1.phy, 16
214, 214_Arena_glycoprot.phy, 18
304, 304_A1_Propeptide.phy, 14
401, 401_DDE.phy, 32
494, 494_Astro_capsid.phy, 214
608, 608_Gemini_AL2.phy, 24
777, 777_Gemini_V1.phy, 212
877, 877_Glu_synthase.phy, 32
1347, 1347_FAINT.phy, 2
1493, 1493_Fe-ADH.phy, 34
1560, 1560_Ferritin.phy, 76
