time, file, taxa
0.012380599975585938, 89_Adeno_E3_CR1.phy, 89
0.02510061264038086, 214_Arena_glycoprot.phy, 214
0.049976158142089847, 304_A1_Propeptide.phy, 304
0.0859755039215088, 401_DDE.phy, 401
0.10199513435363769, 494_Astro_capsid.phy, 494
0.17638301849365234, 608_Gemini_AL2.phy, 608
0.3173576831817627, 777_Gemini_V1.phy, 777
0.534512996673584, 877_Glu_synthase.phy, 877
2.5524106502532957, 1347_FAINT.phy, 1347
2.798681879043579, 1493_Fe-ADH.phy, 1493
3.4431602001190185, 1560_Ferritin.phy, 1560
3.9598341464996336, 1689_FGGY_N.phy, 1689
4.318236351013184, 1756_FAD_binding_3.phy, 1756
5.5945549488067625, 1849_FG-GAP.phy, 1849
