time, file, taxa
0.00996713638305664, 89_Adeno_E3_CR1.phy, 89
0.017397356033325196, 214_Arena_glycoprot.phy, 214
0.028904199600219727, 304_A1_Propeptide.phy, 304
0.04623179435729981, 401_DDE.phy, 401
0.04841790199279785, 494_Astro_capsid.phy, 494
0.08603582382202149, 608_Gemini_AL2.phy, 608
0.11253743171691895, 777_Gemini_V1.phy, 777
0.16063990592956542, 877_Glu_synthase.phy, 877
0.41242208480834963, 1347_FAINT.phy, 1347
0.450349235534668, 1493_Fe-ADH.phy, 1493
0.46564016342163084, 1560_Ferritin.phy, 1560
0.5783649444580078, 1689_FGGY_N.phy, 1689
0.6974413394927979, 1756_FAD_binding_3.phy, 1756
0.6412201881408691, 1849_FG-GAP.phy, 1849
