taxa, file, time
89, 89_Adeno_E3_CR1.phy, 0.09
214, 214_Arena_glycoprot.phy, 3.15625
304, 304_A1_Propeptide.phy, 11.66
401, 401_DDE.phy, 44.117
494, 494_Astro_capsid.phy, 150.793
608, 608_Gemini_AL2.phy, 409.124
777, 777_Gemini_V1.phy, 1272.73
877, 877_Glu_synthase.phy, 2111.24
